"Year","Site","Box","Attempt","Species.J","Nest.ID","Nestl.ID","Bandage","Nestling.Max","K","Hem","Blowflies","inc.temp","nestling.temp","Total.Trip.min","T.perc","mass.A","Vol.2"
2019,"LF","3",1,"TRES","LF3.1.19","R1-209",12,6,0.3968194,42,"No",31.07269343,29.79121844,0.196755264,0.432343804,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R1-209",12,6,0.3968194,42,"No",31.07269343,29.79121844,0.196755264,0.432343804,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","R1-209",12,6,0.3968194,42,"No",31.07269343,29.79121844,0.222418358,0.479964695,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","R1-209",12,6,0.3968194,42,"No",31.07269343,29.79121844,0.222418358,0.479964695,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","L3-207",12,6,0.3968194,48,"No",31.07269343,29.79121844,0.125865324,0.731277533,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","L3-207",12,6,0.3968194,48,"No",31.07269343,29.79121844,0.125865324,0.731277533,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","L3-207",12,6,0.3968194,48,"No",31.07269343,29.79121844,0.193768997,0.46637538,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","L3-207",12,6,0.3968194,48,"No",31.07269343,29.79121844,0.193768997,0.46637538,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","L3-207",12,6,0.3968194,48,"No",31.07269343,29.79121844,0.196755264,0.432343804,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","L3-207",12,6,0.3968194,48,"No",31.07269343,29.79121844,0.196755264,0.432343804,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","L3-207",12,6,0.3968194,48,"No",31.07269343,29.79121844,0.222418358,0.479964695,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","L3-207",12,6,0.3968194,48,"No",31.07269343,29.79121844,0.222418358,0.479964695,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","L1-208",12,6,0.3968192,43,"No",31.07269343,29.79121844,0.125865324,0.731277533,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","L1-208",12,6,0.3968192,43,"No",31.07269343,29.79121844,0.125865324,0.731277533,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","L1-208",12,6,0.3968192,43,"No",31.07269343,29.79121844,0.193768997,0.46637538,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","L1-208",12,6,0.3968192,43,"No",31.07269343,29.79121844,0.193768997,0.46637538,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","L1-208",12,6,0.3968192,43,"No",31.07269343,29.79121844,0.196755264,0.432343804,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","L1-208",12,6,0.3968192,43,"No",31.07269343,29.79121844,0.196755264,0.432343804,0.6388,98.125
2019,"LF","3",1,"TRES","LF3.1.19","L1-208",12,6,0.3968192,43,"No",31.07269343,29.79121844,0.222418358,0.479964695,0.524,2267.865
2019,"LF","3",1,"TRES","LF3.1.19","L1-208",12,6,0.3968192,43,"No",31.07269343,29.79121844,0.222418358,0.479964695,0.6388,98.125
2019,"LF","4",1,"EABL","LF4.1.19","L3-44524",9,5,0.3650962,42,"No",32.56775589,31.36293964,0.142883312,0.487451914,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","L3-44524",9,5,0.3650962,42,"No",32.56775589,31.36293964,0.069084629,0.068508923,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","L3-44524",9,5,0.3650962,42,"No",32.56775589,31.36293964,0.224558902,0.060951702,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","L1-44526",9,5,0.392335,35,"No",32.56775589,31.36293964,0.142883312,0.487451914,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","L1-44526",9,5,0.392335,35,"No",32.56775589,31.36293964,0.069084629,0.068508923,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","L1-44526",9,5,0.392335,35,"No",32.56775589,31.36293964,0.224558902,0.060951702,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","R1-525",9,5,0.3803343,34,"No",32.56775589,31.36293964,0.142883312,0.487451914,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","R1-525",9,5,0.3803343,34,"No",32.56775589,31.36293964,0.069084629,0.068508923,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","R1-525",9,5,0.3803343,34,"No",32.56775589,31.36293964,0.224558902,0.060951702,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","R2-522",9,5,0.3785026,33,"No",32.56775589,31.36293964,0.142883312,0.487451914,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","R2-522",9,5,0.3785026,33,"No",32.56775589,31.36293964,0.069084629,0.068508923,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","R2-522",9,5,0.3785026,33,"No",32.56775589,31.36293964,0.224558902,0.060951702,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","R3-44523",9,5,0.3654041,34,"No",32.56775589,31.36293964,0.142883312,0.487451914,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","R3-44523",9,5,0.3654041,34,"No",32.56775589,31.36293964,0.069084629,0.068508923,1.3744,1117.84
2019,"LF","4",1,"EABL","LF4.1.19","R3-44523",9,5,0.3654041,34,"No",32.56775589,31.36293964,0.224558902,0.060951702,1.3744,1117.84
2019,"LF","5",1,"TRES","LF5.1.19","R3-63",12,4,0.3968191,33,"No",28.67926218,28.66547746,0.16744186,0.87255814,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","R3-63",12,4,0.3968191,33,"No",28.67926218,28.66547746,0.370235935,0.869872958,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","R3-63",12,4,0.3968191,33,"No",28.67926218,28.66547746,0.337078652,0.731201383,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","R3-63",12,4,0.3968191,33,"No",28.67926218,28.66547746,0.331113225,0.317031399,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","R1-262",12,4,0.3968192,62,"No",28.67926218,28.66547746,0.16744186,0.87255814,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","R1-262",12,4,0.3968192,62,"No",28.67926218,28.66547746,0.370235935,0.869872958,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","R1-262",12,4,0.3968192,62,"No",28.67926218,28.66547746,0.337078652,0.731201383,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","R1-262",12,4,0.3968192,62,"No",28.67926218,28.66547746,0.331113225,0.317031399,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","L1-64",12,4,0.3968191,44,"No",28.67926218,28.66547746,0.16744186,0.87255814,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","L1-64",12,4,0.3968191,44,"No",28.67926218,28.66547746,0.370235935,0.869872958,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","L1-64",12,4,0.3968191,44,"No",28.67926218,28.66547746,0.337078652,0.731201383,0.2334,437.6375
2019,"LF","5",1,"TRES","LF5.1.19","L1-64",12,4,0.3968191,44,"No",28.67926218,28.66547746,0.331113225,0.317031399,0.2334,437.6375
2019,"LF","7",1,"TRES","LF7.1.19","R3-246",11,5,0.3968195,45,"No",31.34713168,30.87858327,0.228619814,0.635055038,0.4388,759.88
2019,"LF","7",1,"TRES","LF7.1.19","R3-246",11,5,0.3968195,45,"No",31.34713168,30.87858327,0.228619814,0.635055038,1.6018,1623.38
2019,"LF","7",1,"TRES","LF7.1.19","R3-246",11,5,0.3968195,45,"No",31.34713168,30.87858327,0.218684059,0.645885287,0.4388,759.88
2019,"LF","7",1,"TRES","LF7.1.19","R3-246",11,5,0.3968195,45,"No",31.34713168,30.87858327,0.218684059,0.645885287,1.6018,1623.38
2019,"LF","7",1,"TRES","LF7.1.19","R3-246",11,5,0.3968195,45,"No",31.34713168,30.87858327,0.209959623,0.194078062,0.4388,759.88
2019,"LF","7",1,"TRES","LF7.1.19","R3-246",11,5,0.3968195,45,"No",31.34713168,30.87858327,0.209959623,0.194078062,1.6018,1623.38
2019,"LF","7",1,"TRES","LF7.1.19","R1-245",11,5,0.3968192,44,"No",31.34713168,30.87858327,0.228619814,0.635055038,0.4388,759.88
2019,"LF","7",1,"TRES","LF7.1.19","R1-245",11,5,0.3968192,44,"No",31.34713168,30.87858327,0.228619814,0.635055038,1.6018,1623.38
2019,"LF","7",1,"TRES","LF7.1.19","R1-245",11,5,0.3968192,44,"No",31.34713168,30.87858327,0.218684059,0.645885287,0.4388,759.88
2019,"LF","7",1,"TRES","LF7.1.19","R1-245",11,5,0.3968192,44,"No",31.34713168,30.87858327,0.218684059,0.645885287,1.6018,1623.38
2019,"LF","7",1,"TRES","LF7.1.19","R1-245",11,5,0.3968192,44,"No",31.34713168,30.87858327,0.209959623,0.194078062,0.4388,759.88
2019,"LF","7",1,"TRES","LF7.1.19","R1-245",11,5,0.3968192,44,"No",31.34713168,30.87858327,0.209959623,0.194078062,1.6018,1623.38
2019,"LF","7",1,"TRES","LF7.1.19","L3-247",11,5,0.3968194,47,"No",31.34713168,30.87858327,0.228619814,0.635055038,0.4388,759.88
2019,"LF","7",1,"TRES","LF7.1.19","L3-247",11,5,0.3968194,47,"No",31.34713168,30.87858327,0.228619814,0.635055038,1.6018,1623.38
2019,"LF","7",1,"TRES","LF7.1.19","L3-247",11,5,0.3968194,47,"No",31.34713168,30.87858327,0.218684059,0.645885287,0.4388,759.88
2019,"LF","7",1,"TRES","LF7.1.19","L3-247",11,5,0.3968194,47,"No",31.34713168,30.87858327,0.218684059,0.645885287,1.6018,1623.38
2019,"LF","7",1,"TRES","LF7.1.19","L3-247",11,5,0.3968194,47,"No",31.34713168,30.87858327,0.209959623,0.194078062,0.4388,759.88
2019,"LF","7",1,"TRES","LF7.1.19","L3-247",11,5,0.3968194,47,"No",31.34713168,30.87858327,0.209959623,0.194078062,1.6018,1623.38
2019,"LF","7",1,"TRES","LF7.1.19","L1-244",11,5,0.3968194,51,"No",31.34713168,30.87858327,0.228619814,0.635055038,0.4388,759.88
2019,"LF","7",1,"TRES","LF7.1.19","L1-244",11,5,0.3968194,51,"No",31.34713168,30.87858327,0.228619814,0.635055038,1.6018,1623.38
2019,"LF","7",1,"TRES","LF7.1.19","L1-244",11,5,0.3968194,51,"No",31.34713168,30.87858327,0.218684059,0.645885287,0.4388,759.88
