"Nestl.ID","Vol.2","mass.A","Total.Trip.min","T.perc","nestling.temp","Nestl.ID.1","bf","K","Hem","Nest.ID","Nestling.Max","Species.J","Vol.2.1","Species"
"L3-91",274.3575,1.0609,0.17211703725,0.3134790735,35.88157293,"L3-91","0",0.3401333,36,"DR7.1.19",4,"EABL",274.3575,"EABL"
"Lhav-47666",1079.7675,0.6831,0.2448553815,0.184299826,33.81420931,"Lhav-47666","0",0.3783033,29,"R12.1.19",5,"EABL",1079.7675,"EABL"
"LT-563",1142.5675,0.3141,0.160979031,0.27511382925,33.31323997,"LT-563","0",0.3709896,41,"R5.1.19",5,"EABL",1142.5675,"EABL"
"R1-065",NA,NA,0.0955857085,0.357309485,27.46835038,"R1-065","0",0.4099317,33,"W4.2.19",4,"EABL",NA,"EABL"
"R1-27",83.01375,0.5193,0.07942406475,0.3629140405,23.16064125,"R1-27","0",0.3028851,30,"W18.1.19",3,"EABL",83.01375,"EABL"
"R1-33",458.8325,1.1981,0.127492645,0.190258254,27.69647696,"R1-33","0",0.3455819,39,"W17.2.19",4,"EABL",458.8325,"EABL"
"R1-37",553.425,NA,0.160023611333333,0.481647284666667,31.96108787,"R1-37","0",0.404086,44,"W4.1.19",4,"EABL",553.425,"EABL"
"R1-4553",546.55625,0.6616,0.169754557,0.407263518333333,30.35838736,"R1-4553","0",0.3682282,36,"W19.1.19",5,"EABL",546.55625,"EABL"
"R1-4571",1737.40125,0.2565,0.163869570333333,0.217629959,32.85599166,"R1-4571","0",0.3991961,41,"DR5.2.19",4,"EABL",1737.40125,"EABL"
"R1-47652",419.5825,1.4825,0.137836573666667,0.172391687333333,29.71657701,"R1-47652","0",0.3341893,39,"R1.1.19",5,"EABL",419.5825,"EABL"
"R1-47655",450.9825,1.2725,0.2189441185,0.2111195975,30.58723056,"R1-47655","0",0.3266618,34,"R2.1.19",4,"EABL",450.9825,"EABL"
"R1-49",454.9075,1.8164,0.180877514,0.2065061705,32.93017578,"R1-49","0",0.3690015,39.8,"W32.1.19",5,"EABL",454.9075,"EABL"
"R1-513",512.01625,0.766,0.129606488333333,0.419613971333333,30.23574665,"R1-513","0",0.3916565,38,"W55.1.19",4,"EABL",512.01625,"EABL"
"R1-519",78.5,NA,0.26527937,0.457280159333333,35.18524124,"R1-519","0",0.425082,42,"W62B.1.19",5,"EABL",78.5,"EABL"
"R1-525",1117.84,1.3744,0.145508947666667,0.205637513,31.36293964,"R1-525","0",0.3803343,34,"LF4.1.19",5,"EABL",1117.84,"EABL"
"R1-539",1727.58875,0.6866,0.14606971575,0.2501687915,31.41568728,"R1-539","0",0.4114038,43,"DR1A.1.19",4,"EABL",1727.58875,"EABL"
"R1-542",494.35375,0.4121,0.113446347333333,0.255202928666667,27.17362319,"R1-542","0",0.3994459,40,"R8.1.19",5,"EABL",494.35375,"EABL"
"R1-549",145.323125,0.65775,0.1797030855,0.290816158,29.73637908,"R1-549","0",0.372121,46,"W34.1.19",4,"EABL",226.08,"EABL"
"R1-556",1494.83625,1.6946,0.21104921325,0.39443854925,33.88911774,"R1-556","0",0.3567567,25,"R3.2.19",5,"EABL",1494.83625,"EABL"
"R1-560",1142.5675,0.3141,0.160979031,0.27511382925,33.31323997,"R1-560","0",0.380338,43,"R5.1.19",5,"EABL",1142.5675,"EABL"
"R1-576",689.23,3.8217,0.15463921575,0.32785449275,34.85857592,"R1-576","1",0.3756365,28,"R7.1.19",5,"EABL",689.23,"EABL"
"R1-58",944.7475,0.1605,0.147538624,0.181295839333333,33.43437411,"R1-58","0",0.3909053,40,"R15.1.19",3,"EABL",944.7475,"EABL"
"R1-627",954.56,0.7019,0.184396903,0.2644747205,34.57588437,"R1-627","0",0.382699,NA,"DR5.1.19",5,"EABL",954.56,"EABL"
"R1-634",941.01875,3.6218,0.267077867,0.082010577,26.86581596,"R1-634","0",0.3543963,NA,"W48.1.19",5,"EABL",941.01875,"EABL"
"R1-671",389.36,0.9299,0.22001287,0.235320049,34.59693763,"R1-671","0",0.3597396,45,"W60.1.19",4,"EABL",389.36,"EABL"
"R1-677",1571.9625,0.7101,0.186406079333333,0.474631134333333,26.76041895,"R1-677","1",0.313274,36,"W29.1.19",3,"EABL",1571.9625,"EABL"
"R1-678",128.54375,1.5659,0.17426034,0.4257107295,33.89372415,"R1-678","0",0.3865938,39,"W24.1.19",4,"EABL",128.54375,"EABL"
"R1-682",794.8125,1.1802,0.289311546,0.062818109,32.64105634,"R1-682","0",0.3603838,36,"W14.1.19",4,"EABL",794.8125,"EABL"
"R1-686",398.485625,0.3545,0.185377638333333,0.416703427333333,35.68872971,"R1-686","0",0.3447198,34,"W57.1.19",4,"EABL",571.8725,"EABL"
"R1-690",NA,0.944,0.173715198,0.418757624,29.9122696,"R1-690","0",0.3907719,48,"W36.1.19",3,"EABL",NA,"EABL"
"R1-696",1000.67875,1.9835,0.154467846666667,0.361329631666667,23.03024345,"R1-696","0",0.3917085,41,"W56B.1.19",3,"EABL",1000.67875,"EABL"
"R1-699",1317.03375,1.8892,0.159877848,0.425934261333333,29.45324707,"R1-699","0",0.3665528,36,"W13.1.19",4,"EABL",1317.03375,"EABL"
"R1/R2-298",666.66125,0.94,0.1116228755,0.31021653125,28.51948849,"R1/R2-298","1",0.3787692,40,"W56B.2.19",4,"EABL",666.66125,"EABL"
"R1H-663",1269.835625,0.8081,0.286305074,0.380308573,37.0181501,"R1H-663","0",0.3495113,28,"R3.1.19",5,"EABL",1269.835625,"EABL"
"R1halvx-47654",450.9825,1.2725,0.2189441185,0.2111195975,30.58723056,"R1halvx-47654","0",0.3506264,33,"R2.1.19",4,"EABL",450.9825,"EABL"
"R2-056",77.715,0.956,0.0964500173333333,0.379831701333333,28.16183326,"R2-056","0",0.3761324,35,"W50.2.19",3,"EABL",77.715,"EABL"
"R2-062",1887.72875,2.579,0.0965961693333333,0.394650801666667,33.21760563,"R2-062","0",0.4032309,41,"W45.3.19",4,"EABL",1887.72875,"EABL"
"R2-292",2096.53875,NA,0.138055774,0.281273741,35.37318368,"R2-292","0",0.3759578,39,"W57.2.19",4,"EABL",2096.53875,"EABL"
"R2-3-46",454.9075,1.8164,0.180877514,0.2065061705,32.93017578,"R2-3-46","0",0.3642839,42,"W32.1.19",5,"EABL",454.9075,"EABL"
"R2-35",553.425,NA,0.160023611333333,0.481647284666667,31.96108787,"R2-35","0",0.3768666,41,"W4.1.19",4,"EABL",553.425,"EABL"
"R2-4551",546.55625,0.6616,0.169754557,0.407263518333333,30.35838736,"R2-4551","0",0.4046031,45,"W19.1.19",5,"EABL",546.55625,"EABL"
"R2-4559",464.13125,2.1826,0.0863339596666667,0.767529299,26.00984292,"R2-4559","0",0.3815639,35,"W28.1.19",1,"EABL",727.10625,"EABL"
"R2-47668",1079.7675,0.6831,0.2448553815,0.184299826,33.81420931,"R2-47668","0",0.3622345,38,"R12.1.19",5,"EABL",1079.7675,"EABL"
"R2-522",1117.84,1.3744,0.145508947666667,0.205637513,31.36293964,"R2-522","0",0.3785026,33,"LF4.1.19",5,"EABL",1117.84,"EABL"
"R2-546",494.35375,0.4121,0.113446347333333,0.255202928666667,27.17362319,"R2-546","0",0.4018642,40,"R8.1.19",5,"EABL",494.35375,"EABL"
"R2-550",145.323125,0.65775,0.1797030855,0.290816158,29.73637908,"R2-550","0",0.3480097,39,"W34.1.19",4,"EABL",226.08,"EABL"
"R2-573",689.23,3.8217,0.15463921575,0.32785449275,34.85857592,"R2-573","1",0.3711879,23,"R7.1.19",5,"EABL",689.23,"EABL"
"R2-583",424.685,0.407,0.166166786,0.38435507125,28.08822791,"R2-583","0",0.3785297,36,"R2.2.19",3,"EABL",424.685,"EABL"
"R2-587",784.215,0.5553,0.1040083555,0.2002583655,35.35414058,"R2-587","0",0.3823091,41,"R11.1.19",4,"EABL",784.215,"EABL"
"R2-589",274.3575,1.0609,0.17211703725,0.3134790735,35.88157293,"R2-589","0",0.3743414,35,"DR7.1.19",4,"EABL",274.3575,"EABL"
"R2-59",944.7475,0.1605,0.147538624,0.181295839333333,33.43437411,"R2-59","0",0.3815284,41,"R15.1.19",3,"EABL",944.7475,"EABL"
"R2-593",58.875,0.9352,NA,NA,34.13097243,"R2-593","0",0.3816142,41,"W39.2.19",4,"EABL",58.875,"EABL"
"R2-597",NA,0.5883,0.156569692,0.35355153425,NA,"R2-597","0",0.3573865,42,"W6.2.19",4,"EABL",NA,"EABL"
"R2-629",954.56,0.7019,0.184396903,0.2644747205,34.57588437,"R2-629","0",0.3883788,NA,"DR5.1.19",5,"EABL",954.56,"EABL"
"R2-631",941.01875,3.6218,0.267077867,0.082010577,26.86581596,"R2-631","0",0.3717508,NA,"W48.1.19",5,"EABL",941.01875,"EABL"
"R2-661",1269.835625,0.8081,0.286305074,0.380308573,37.0181501,"R2-661","0",0.3713822,36,"R3.1.19",5,"EABL",1269.835625,"EABL"
"R2-693",NA,NA,0.129459725,0.4400334845,26.9949878,"R2-693","0",0.4135236,43,"W43.1.19",1,"EABL",NA,"EABL"
"R3--674",389.36,0.9299,0.22001287,0.235320049,34.59693763,"R3--674","0",0.3746101,41,"W60.1.19",4,"EABL",389.36,"EABL"
"R3-057",77.715,0.956,0.0964500173333333,0.379831701333333,28.16183326,"R3-057","0",0.3585507,30,"W50.2.19",3,"EABL",77.715,"EABL"
"R3-060",637.8125,2.7004,0.11754380525,0.2871800785,26.89815444,"R3-060","0",0.4144024,38,"W56.1.19",3,"EABL",637.8125,"EABL"
"R3-061",1887.72875,2.579,0.0965961693333333,0.394650801666667,33.21760563,"R3-061","0",0.4185859,39,"W45.3.19",4,"EABL",1887.72875,"EABL"
"R3-064",NA,NA,0.0955857085,0.357309485,27.46835038,"R3-064","0",0.4254526,35,"W4.2.19",4,"EABL",NA,"EABL"
"R3-29",83.01375,0.5193,0.07942406475,0.3629140405,23.16064125,"R3-29","0",0.3413338,35,"W18.1.19",3,"EABL",83.01375,"EABL"
"R3-290",2096.53875,NA,0.138055774,0.281273741,35.37318368,"R3-290","0",0.3227886,38,"W57.2.19",4,"EABL",2096.53875,"EABL"
"R3-297",666.66125,0.94,0.1116228755,0.31021653125,28.51948849,"R3-297","1",0.3570344,38,"W56B.2.19",4,"EABL",666.66125,"EABL"
"R3-31",458.8325,1.1981,0.127492645,0.190258254,27.69647696,"R3-31","0",0.3503926,34,"W17.2.19",4,"EABL",458.8325,"EABL"
"R3-44",331.85875,0.5975,0.126805213,0.26171187,29.663002,"R3-44","0",0.3935051,42,"LF8.1.19",5,"EABL",331.85875,"EABL"
"R3-44523",1117.84,1.3744,0.145508947666667,0.205637513,31.36293964,"R3-44523","0",0.3654041,34,"LF4.1.19",5,"EABL",1117.84,"EABL"
"R3-4568",1737.40125,0.2565,0.163869570333333,0.217629959,32.85599166,"R3-4568","0",0.4000472,43,"DR5.2.19",4,"EABL",1737.40125,"EABL"
"R3-47651",419.5825,1.4825,0.137836573666667,0.172391687333333,29.71657701,"R3-47651","0",0.3561134,37,"R1.1.19",5,"EABL",419.5825,"EABL"
"R3-47670",1079.7675,0.6831,0.2448553815,0.184299826,33.81420931,"R3-47670","0",0.3679155,44,"R12.1.19",5,"EABL",1079.7675,"EABL"
"R3-48",454.9075,1.8164,0.180877514,0.2065061705,32.93017578,"R3-48","0",0.3666123,43,"W32.1.19",5,"EABL",454.9075,"EABL"
"R3-514",512.01625,0.766,0.129606488333333,0.419613971333333,30.23574665,"R3-514","0",0.386551,40,"W55.1.19",4,"EABL",512.01625,"EABL"
"R3-518",78.5,NA,0.26527937,0.457280159333333,35.18524124,"R3-518","0",0.3910191,31,"W62B.1.19",5,"EABL",78.5,"EABL"
"R3-540",1727.58875,0.6866,0.14606971575,0.2501687915,31.41568728,"R3-540","0",0.4028971,35,"DR1A.1.19",4,"EABL",1727.58875,"EABL"
